"","SLNO","Gender","AGE","CASTE","RELIGN","MTONGUE","OCCU","INCOME","Area","WRITE","READ","MATH","TOTAL","Gender_F","Gender_T","OCCU_A","OCCU_C","OCCU_U","OCCU_H","OCCU_B","OCCU_T","RELIGN_H","RELIGN_M","RELIGN_C","CASTE_OT","CASTE_SC","CASTE_ST","MTONGUE_T","MTONGUE_U","MTONGUE_K","MTONGUE_D","MTONGUE_H"
"837",946,"F",31,"SC","H","T","C",6050,0,25,21,17,63,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"838",3918,"F",38,"OT","H","T","C",6000,0,21,32,23,76,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"839",771,"F",30,"OT","H","T","C",3000,0,19,30,26,75,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"840",2838,"F",22,"OT","H","T","C",4000,1,9,34,16,59,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"841",2036,"F",37,"OT","H","T","C",2000,0,15,31,4,50,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"842",3259,"T",25,"SC","H","T","C",4500,0,18,25,18,61,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"843",4561,"T",21,"OT","H","T","A",9000,3,15,9,17,41,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"844",2524,"F",28,"OT","H","T","A",6000,0,10,15,11,36,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"845",2952,"T",20,"OT","H","T","A",10000,2,15,15,17,47,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"846",2510,"T",33,"OT","H","T","C",7500,0,10,34,8,52,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"847",4705,"F",38,"OT","H","T","C",5600,0,14,32,23,69,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"848",180,"F",27,"OT","H","T","C",1000,0,15,22,7,44,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"849",4571,"T",37,"OT","H","T","A",3600,0,17,16,23,56,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"850",3209,"T",45,"OT","H","T","A",12000,6,22,34,19,75,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"851",680,"F",26,"OT","H","T","C",2650,3,16,25,11,52,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"852",4648,"T",22,"OT","H","T","C",2900,0,9,30,26,65,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
