"","SLNO","Gender","AGE","CASTE","RELIGN","MTONGUE","OCCU","INCOME","Area","WRITE","READ","MATH","TOTAL","Gender_F","Gender_T","OCCU_C","OCCU_A","OCCU_B","OCCU_U","OCCU_H","OCCU_T","RELIGN_H","RELIGN_M","RELIGN_C","CASTE_OT","CASTE_ST","CASTE_SC","MTONGUE_T","MTONGUE_U","MTONGUE_K","MTONGUE_D","MTONGUE_H","acheivers"
"789",790,"F",39,"SC","H","T","C",5000,3,17,23,14,54,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"790",5374,"F",25,"SC","H","K","C",12000,0,18,31,12,61,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"791",5947,"T",28,"OT","H","K","A",7500,0,0,0,0,21,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"792",3376,"T",22,"OT","H","T","C",6000,1,11,19,17,47,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"793",114,"F",30,"SC","H","T","C",7500,0,21,20,8,49,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"794",5147,"T",37,"OT","H","K","A",3000,2,16,24,16,56,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"795",762,"F",38,"OT","H","T","C",4800,0,7,16,14,37,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"796",426,"F",23,"SC","H","T","C",3500,0,10,24,22,66,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"797",4112,"F",28,"SC","H","T","C",6000,0,15,23,18,56,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"798",1773,"T",20,"OT","H","T","C",2300,0,5,0,0,21,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"799",3754,"F",24,"OT","H","T","C",3600,0,23,9,27,59,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"800",1757,"T",23,"OT","H","T","C",1800,0,13,33,11,57,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"801",4434,"F",38,"OT","H","T","C",6000,0,11,33,13,57,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"802",2097,"T",30,"OT","H","T","C",8000,5,13,26,12,51,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"803",2927,"F",35,"OT","H","T","A",5000,2,16,26,20,62,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"804",4641,"F",20,"OT","H","T","A",3700,1,13,33,21,67,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"805",4813,"F",21,"SC","H","T","C",4000,0,22,12,29,63,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"806",5283,"T",18,"OT","H","T","C",9000,4,23,19,4,46,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"807",2130,"F",20,"OT","H","T","C",4500,0,17,36,26,79,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"808",1787,"T",20,"OT","H","T","C",5800,0,16,18,5,39,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"809",2350,"T",33,"OT","H","T","C",6000,0,24,35,17,76,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"810",4647,"T",35,"OT","H","T","A",9000,0,18,20,18,56,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"811",1852,"F",35,"OT","H","T","C",7000,0,14,7,0,21,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"812",2977,"F",22,"OT","H","T","C",5000,0,9,25,9,43,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"813",3228,"T",20,"SC","H","T","C",4500,0,23,31,21,75,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
"814",3666,"F",17,"OT","H","T","A",6000,2,14,24,17,55,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"815",5158,"F",19,"SC","H","T","C",6000,0,27,23,25,75,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
"816",2552,"F",27,"OT","H","T","C",9000,0,12,37,15,64,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"817",2262,"F",27,"OT","H","T","C",6000,0,15,38,12,65,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"818",2863,"F",30,"SC","H","T","C",4000,1,11,16,13,40,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"819",902,"F",40,"OT","H","T","A",12000,6,12,37,9,58,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"820",2892,"T",34,"SC","H","T","C",7000,3,9,11,10,30,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"821",3128,"F",31,"OT","H","T","C",4000,0,25,34,18,77,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"822",3278,"F",28,"OT","H","T","C",7500,0,11,23,17,51,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"823",4067,"F",15,"ST","M","D","C",8000,0,7,3,10,21,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"824",1777,"F",25,"OT","H","T","C",6000,0,9,21,19,49,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"825",1710,"T",26,"SC","H","T","C",3000,0,9,38,21,68,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"826",5061,"F",35,"OT","H","U","A",3000,0,9,30,12,51,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"827",3672,"T",16,"OT","H","U","A",4000,0,18,40,17,75,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"828",5506,"T",17,"SC","H","T","C",3000,0,20,19,27,66,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
